      Step     Time          Energy          fmax
FIRE:    2 22:49:59   -49420.359375       43.182140
FIRE:    3 22:50:10   -49490.781250       37.294498
FIRE:    4 22:50:22   -49548.843750       31.885004
FIRE:    5 22:50:33   -49597.312500       27.401871
FIRE:    6 22:50:46   -49638.386719       23.843330
FIRE:    7 22:50:58   -49673.390625       20.879478
FIRE:    8 22:51:10   -49703.187500       18.326328
FIRE:    9 22:51:22   -49728.382812       16.061687
FIRE:   10 22:51:34   -49749.539062       13.996590
FIRE:   11 22:51:46   -49767.175781       12.155483
FIRE:   12 22:51:58   -49781.820312       10.551675
FIRE:   13 22:52:10   -49793.789062        9.107491
FIRE:   14 22:52:22   -49803.296875        7.753108
FIRE:   15 22:52:34   -49810.570312        6.414750
FIRE:   16 22:52:46   -49815.882812        5.060515
FIRE:   17 22:52:58   -49819.628906        3.838841
FIRE:   18 22:53:11   -49822.191406        3.750684
FIRE:   19 22:53:23   -49823.957031        3.987603
FIRE:   20 22:53:35   -49825.285156        3.961208
FIRE:   21 22:53:47   -49826.492188        3.705003
FIRE:   22 22:53:59   -49827.851562        3.321796
FIRE:   23 22:54:11   -49829.546875        3.129211
FIRE:   24 22:54:23   -49831.679688        2.815828
FIRE:   25 22:54:35   -49834.218750        2.879445
FIRE:   26 22:54:47   -49837.128906        2.823448
FIRE:   27 22:54:58   -49840.238281        2.673615
FIRE:   28 22:55:10   -49843.375000        2.524217
FIRE:   29 22:55:23   -49846.375000        2.342094
FIRE:   30 22:55:35   -49849.164062        2.139444
FIRE:   31 22:55:48   -49851.648438        1.925490
FIRE:   32 22:55:59   -49853.812500        1.707807
FIRE:   33 22:56:11   -49855.656250        1.491767
FIRE:   34 22:56:22   -49857.238281        1.363016
FIRE:   35 22:56:35   -49858.660156        1.410628
FIRE:   36 22:56:46   -49860.000000        1.389339
FIRE:   37 22:56:59   -49861.351562        1.309620
FIRE:   38 22:57:11   -49862.765625        1.360153
FIRE:   39 22:57:23   -49864.300781        1.415933
FIRE:   40 22:57:36   -49865.925781        1.410750
FIRE:   41 22:57:47   -49867.597656        1.352555
FIRE:   42 22:58:00   -49869.289062        1.255303
FIRE:   43 22:58:11   -49870.945312        1.135653
FIRE:   44 22:58:23   -49872.500000        1.009997
FIRE:   45 22:58:35   -49873.953125        0.892318
FIRE:   46 22:58:48   -49875.292969        0.869815
FIRE:   47 22:59:00   -49876.539062        0.878595
FIRE:   48 22:59:13   -49877.707031        0.849188
FIRE:   49 22:59:26   -49878.843750        0.797999
FIRE:   50 22:59:41   -49879.964844        0.881009
FIRE:   51 22:59:55   -49881.105469        0.932749
FIRE:   52 23:00:09   -49882.253906        0.953325
FIRE:   53 23:00:26   -49883.453125        0.944929
FIRE:   54 23:00:41   -49884.636719        0.910970
FIRE:   55 23:00:57   -49885.828125        0.855710
FIRE:   56 23:01:14   -49887.015625        0.783967
FIRE:   57 23:01:30   -49888.175781        0.706765
FIRE:   58 23:01:46   -49889.269531        0.644669
FIRE:   59 23:02:01   -49890.332031        0.588077
FIRE:   60 23:02:15   -49891.351562        0.541636
FIRE:   61 23:02:30   -49892.332031        0.565691
FIRE:   62 23:02:45   -49893.316406        0.615578
FIRE:   63 23:03:00   -49894.285156        0.650500
FIRE:   64 23:03:14   -49895.234375        0.667899
FIRE:   65 23:03:28   -49896.187500        0.668389
FIRE:   66 23:03:41   -49897.148438        0.654827
FIRE:   67 23:03:55   -49898.078125        0.631907
FIRE:   68 23:04:08   -49899.007812        0.605255
FIRE:   69 23:04:22   -49899.910156        0.580718
FIRE:   70 23:04:35   -49900.777344        0.563279
FIRE:   71 23:04:49   -49901.617188        0.555955
FIRE:   72 23:05:02   -49902.445312        0.559212
FIRE:   73 23:05:16   -49903.222656        0.571317
FIRE:   74 23:05:29   -49903.984375        0.589508
FIRE:   75 23:05:43   -49904.750000        0.611086
FIRE:   76 23:05:56   -49905.507812        0.634064
FIRE:   77 23:06:09   -49906.265625        0.657342
FIRE:   78 23:06:22   -49906.988281        0.680553
FIRE:   79 23:06:35   -49907.710938        0.703757
FIRE:   80 23:06:48   -49908.453125        0.727197
FIRE:   81 23:07:00   -49909.187500        0.751015
FIRE:   82 23:07:13   -49909.894531        0.775051
FIRE:   83 23:07:25   -49910.597656        0.798803
FIRE:   84 23:07:38   -49911.300781        0.821370
FIRE:   85 23:07:51   -49912.000000        0.841567
FIRE:   86 23:08:04   -49912.683594        0.858039
FIRE:   87 23:08:17   -49913.351562        0.869448
FIRE:   88 23:08:30   -49914.027344        0.874651
FIRE:   89 23:08:43   -49914.699219        0.872930
FIRE:   90 23:08:55   -49915.359375        0.864156
FIRE:   91 23:09:08   -49916.015625        0.848868
FIRE:   92 23:09:21   -49916.660156        0.828406
FIRE:   93 23:09:33   -49917.304688        0.804844
FIRE:   94 23:09:46   -49917.937500        0.780888
FIRE:   95 23:10:00   -49918.550781        0.759505
FIRE:   96 23:10:13   -49919.152344        0.743245
